Bandit,Reward,Algorithm
2.0,3.3939439650046004,ThompsonSampling
2.0,2.5024245111229138,ThompsonSampling
2.0,0.9582610289171494,ThompsonSampling
2.0,3.055798277636607,ThompsonSampling
2.0,4.686536241606431,ThompsonSampling
2.0,3.068587705757961,ThompsonSampling
2.0,3.5606132340572616,ThompsonSampling
2.0,3.734976051644481,ThompsonSampling
2.0,2.9777696950989916,ThompsonSampling
2.0,2.929115158487023,ThompsonSampling
2.0,4.4674387900367325,ThompsonSampling
2.0,0.8577809570468578,ThompsonSampling
2.0,2.3035118595033,ThompsonSampling
2.0,4.952833597531196,ThompsonSampling
2.0,3.702756015907097,ThompsonSampling
2.0,3.9104003243723464,ThompsonSampling
2.0,4.4513741242737,ThompsonSampling
2.0,2.364469844864313,ThompsonSampling
2.0,1.345432399848096,ThompsonSampling
2.0,1.9981470767414082,ThompsonSampling
2.0,3.310908205111199,ThompsonSampling
2.0,2.596666533984838,ThompsonSampling
2.0,3.9191480953805296,ThompsonSampling
2.0,2.5247287101790277,ThompsonSampling
2.0,3.134780868417508,ThompsonSampling
2.0,3.474248668709178,ThompsonSampling
2.0,2.4790120206821094,ThompsonSampling
2.0,2.0188390674425265,ThompsonSampling
2.0,2.6025512619242224,ThompsonSampling
2.0,2.6178111972384923,ThompsonSampling
2.0,3.392571596445649,ThompsonSampling
2.0,3.23548414432353,ThompsonSampling
2.0,1.8878723017404009,ThompsonSampling
2.0,3.3774975064314554,ThompsonSampling
2.0,2.5251446037674783,ThompsonSampling
2.0,3.3388902424288482,ThompsonSampling
2.0,3.2523477840118256,ThompsonSampling
2.0,5.078201099099159,ThompsonSampling
2.0,3.5349216762122864,ThompsonSampling
2.0,2.4438379977676696,ThompsonSampling
2.0,3.646463962353965,ThompsonSampling
2.0,2.7779483795375652,ThompsonSampling
2.0,1.9661561842059152,ThompsonSampling
2.0,0.7497544168082895,ThompsonSampling
2.0,2.5232136337097213,ThompsonSampling
2.0,2.990982820099868,ThompsonSampling
2.0,3.226941710602892,ThompsonSampling
2.0,3.66534734708282,ThompsonSampling
2.0,3.928463548426606,ThompsonSampling
2.0,3.828721009542801,ThompsonSampling
2.0,4.997270769778896,ThompsonSampling
2.0,2.783722879145086,ThompsonSampling
2.0,4.144609530180535,ThompsonSampling
2.0,4.632003834700479,ThompsonSampling
2.0,2.9515035457239143,ThompsonSampling
2.0,2.5481631508821287,ThompsonSampling
2.0,3.094665397715964,ThompsonSampling
2.0,2.4610912449904045,ThompsonSampling
2.0,2.4824426726887774,ThompsonSampling
2.0,4.0043372455061546,ThompsonSampling
2.0,2.265660560230626,ThompsonSampling
2.0,2.0648584555447473,ThompsonSampling
2.0,2.8091389120268646,ThompsonSampling
2.0,1.5240418882215483,ThompsonSampling
2.0,1.9553057196210124,ThompsonSampling
2.0,4.657116047490497,ThompsonSampling
2.0,4.768583780326107,ThompsonSampling
2.0,1.7409168683901688,ThompsonSampling
2.0,2.1265393221710003,ThompsonSampling
2.0,3.648022539484704,ThompsonSampling
2.0,3.8420008005667965,ThompsonSampling
2.0,3.7402372634465504,ThompsonSampling
2.0,0.7143543783520161,ThompsonSampling
2.0,2.547764298382455,ThompsonSampling
2.0,4.476043448959107,ThompsonSampling
2.0,3.4604632386329306,ThompsonSampling
2.0,3.5475837156025323,ThompsonSampling
2.0,4.884365994620172,ThompsonSampling
2.0,4.002099674384942,ThompsonSampling
2.0,2.897044244677167,ThompsonSampling
2.0,2.9774000148039748,ThompsonSampling
2.0,3.8576741187711554,ThompsonSampling
2.0,3.7988824309702984,ThompsonSampling
